Area,Centroid_X,Centroid_Y,Perimeter
70685.83470577035,1315.0,425.0,942.4777960769379
28274.333882308136,1703.0,1885.0,690.3843694562269
160000.0,329.0,1764.0,1600.0
113733.35119284366,428.5,709.5,1256.637061435917
70685.83470577035,265.0,1888.0,942.4777960769379
28274.333882308136,233.0,337.0,690.3843694562269
160000.0,1571.0,1707.0,1600.0
113733.35119284366,702.5,818.5,1256.637061435917
70685.83470577035,1363.0,637.0,942.4777960769379
28274.333882308136,327.0,1264.0,690.3843694562269
160000.0,1175.0,1325.0,1600.0
113733.35119284366,661.5,495.5,1256.637061435917
70685.83470577035,771.0,633.0,942.4777960769379
28274.333882308136,1537.0,361.0,690.3843694562269
160000.0,384.0,517.0,1600.0
113733.35119284366,1312.5,1009.5,1256.637061435917
70685.83470577035,673.0,1425.0,942.4777960769379
28274.333882308136,1474.0,1778.0,690.3843694562269
160000.0,259.0,1285.0,1600.0
113733.35119284366,1776.5,1140.5,1256.637061435917
