Area,Centroid_X,Centroid_Y,Perimeter
70661.0,1315.0,425.0,990.4894654563448
101806.0,428.5,709.5,1219.0235200658622
160000.0,328.5,1763.5,1596.0
28233.0,1703.0,1885.0,721.8721497261419
28233.0,233.0,337.0,721.8721497261419
101806.0,702.5,818.5,1219.0235200658622
160000.0,1570.5,1706.5,1596.0
70661.0,265.0,1888.0,990.4894654563448
101806.0,661.5,495.5,1219.0235200658622
70661.0,1363.0,637.0,990.4894654563448
28233.0,327.0,1264.0,721.8721497261419
160000.0,1174.5,1324.5,1596.0
28233.0,1537.0,361.0,721.8721497261419
160000.0,383.5,516.5,1596.0
70661.0,771.0,633.0,990.4894654563448
101806.0,1312.5,1009.5,1219.0235200658622
101806.0,1776.5,1140.5,1219.0235200658622
160000.0,258.5,1284.5,1596.0
70661.0,673.0,1425.0,990.4894654563448
28233.0,1474.0,1778.0,721.8721497261419
